Activity type,Duration,From,To,Comment
Eat,1.2,10/3/18 8:52,10/3/18 10:07,
Sport,0.2,10/3/18 8:39,10/3/18 8:52,
Sleep,7.8,10/3/18 0:49,10/3/18 8:39,
Internet,0.7,10/3/18 0:09,10/3/18 0:49,
Study,1.8,10/2/18 19:23,10/2/18 21:13,
Housework,0.6,10/2/18 18:44,10/2/18 19:19,
Eat,1,10/2/18 17:43,10/2/18 18:44,
Study,3,10/2/18 14:43,10/2/18 17:43,
Eat,1.3,10/2/18 13:27,10/2/18 14:43,
Sleep,11.5,9/29/18 0:20,9/29/18 11:49,
Chat,0.9,9/28/18 23:23,9/29/18 0:20,
Study,3,9/28/18 20:22,9/28/18 23:23,
Sleep,1,9/28/18 19:22,9/28/18 20:22,
Games,2.2,9/28/18 17:10,9/28/18 19:22,
Eat,1,9/28/18 16:10,9/28/18 17:10,
Meetings ,2.1,9/28/18 14:04,9/28/18 16:10,
Meetings ,2.2,9/28/18 11:52,9/28/18 14:04,
Transport,0.3,9/28/18 11:36,9/28/18 11:52,
Shower,0.4,9/28/18 11:09,9/28/18 11:36,
Internet,1.2,9/28/18 9:57,9/28/18 11:09,
Sleep,8,9/28/18 1:32,9/28/18 9:32,
Internet,1,9/28/18 0:32,9/28/18 1:32,
Games,2,9/27/18 22:32,9/28/18 0:32,
Study,0.9,9/27/18 21:38,9/27/18 22:32,
Internet,4.7,9/27/18 16:53,9/27/18 21:38,
Sleep,0.6,9/27/18 16:14,9/27/18 16:52,
Eat,1.6,9/27/18 14:37,9/27/18 16:13,
Sport,0.2,9/27/18 14:24,9/27/18 14:37,
Meetings ,2.1,9/27/18 11:48,9/27/18 13:53,
Work,0.7,9/27/18 11:03,9/27/18 11:48,
Transport,0.4,9/27/18 10:39,9/27/18 11:03,
Eat,1,9/27/18 9:37,9/27/18 10:39,
Sleep,8.2,9/27/18 1:21,9/27/18 9:30,
Study,0.5,9/27/18 0:52,9/27/18 1:21,
